Senseless / Conflict deaths;duration of conflict;deaths;;;;365;52;12;;;;size of conflict as integer;size of conflict;type of conflict;start year;end year;;;;no. targeted peoples;deaths as % of targeted peoples;notes on targeted peoples figures;deaths as % of targeted peoples;type of conflict;;;
war/battle/event;years;total;per hour;per min;per hour;per day;per week;per month;per year;summary;cause of conflict (long);"1: small region
2-4: s / m / l country
5-6: m / l region
7: international (up to 3 c)
8: global (>3 countries)";;;;;how many years?;months (for wars <3 years);dates;;;;;- ideological, territorial, ethno-religious etc;comment;source;link
American Civil War;4.00;750;21.40;0.4;21;514;3,606;15,625;187,5;"Economic differences & views on the legality of slavery between confederate ""southern"" states and Unionist northern states led to a prolonged and bloody civil war.";Economic differences between northern & southern states with major differences in their opinions on slavery;4;large country;war;1861;1865;4.00;48;1861-1865;31,429,891;2.39%;Population of US c.1861.;;ideological;;New York Times;http://www.nytimes.com/2012/04/03/science/civil-war-toll-up-by-20-percent-in-new-estimate.html?pagewanted=all&_r=0
Armenian Genocide;3.00;1,500,000;57.08;1.0;57;1,37;9,615;41,667;500;Systematic genocide of the Armenian populace of the Ottoman Empire (Turkey) via massacres, forced labour and death marches.;Ottoman government's systematic extermination of its minority Armenian subjects from their historic homeland;2;small country;genocide;1915;1918;3.00;36;1915-1918;2,000,000;75.00%;Number of Armenians living in the Ottoman Empire c.1915.;;;;NYT;http://www.nytimes.com/ref/timestopics/topics_armeniangenocide.html
Bangladesh Liberation War;0.17;1,650,000;1,130.14;18.aug;1,13;27,123;190,385;825;9,900,000;A purge of Bangladeshi forces, religious minorities & dissidents during a separatist uprising in Pakistan.;Pakistan Army launched a military operation called Operation Searchlight against Bengali civilians, students, intelligentsia and armed personnel, who were demanding that the Pakistani military junta accept the results of the 1970 first democratic elections of Pakistan, which were won by an eastern party, or to allow separation between East and West Pakistan. A guerrilla army retalliated and the Pakistan Army then engaged in the systematic genocide and atrocities of Bengali civilians;3;small country;genocide;1971;1971;0.17;2;1971;69,326,000;2.38%;Population of former Dominion of Pakistan, which became Pakistan & Bangladesh following the Liberation War.;;;;hawaii dot edu;http://www.hawaii.edu/powerkills/SOD.CHAP8.HTM
Battle of the Somme;0.33;310,486;106.33;01.aug;106;2,552;17,913;77,622;931,458;Largest battle of the First World War saw over a million men killed.;Battle of the First World War fought by the armies of the British and French empires against the German Empire;8;global;war;1916;1916;0.33;4;July-Nov 1916;3,000,000;10.35%;"3m soldiers fought in the battle overall. 
German losses: 500,000 (contemporary. pop. 56,000,000)
British losses: 419,654 (contemporary. pop. 46,000,000)
French losses: 204,253 (contemporary. pop. 38,000,000)";;;per year is extrapolated. war lasted less than 1 year.;Boraston, J. H. (1919). Sir Douglas Haig's Despatches (1920 ed.). London: Dent. OCLC 633614212.;http://en.wikipedia.org/wiki/Battle_of_the_Somme
Bosnian Genocide;0.08;8;okt.96;0.2;11;263;1,846;8;96;Ethnic cleansing of Bosnian muslims by elements of the Serbian army, including specific massacres of civilians, during the breakup of Yugoslavia.;Bosnian Genocide refers to either genocide at Srebrenica and Žepa committed by Bosnian Serb forces in 1995 or the ethnic cleansing campaign throughout areas controlled by the Army of the Republika Srpska that took place during the 1992–1995 Bosnian War.;2;small country;genocide;1995;1995;0.08;36;July 1995;2,440,000;0.33%;Number of Bosniaks and Croatians living in Bosnia in 1991.;;;;A Case Study of the First Modern Genocide of the 20th Century;https://docs.google.com/viewer?a=v&q=cache:FPckMtHNGMwJ:www.teachgenocide.com/files/LessonPlans/Overhead/Case%2520Study%2520First%2520Modern%2520Genocide%252020th%2520Century%25204th%2520Ed-%2520Overheads%2520-%2520Section%25204.pdf+genocide+20th+century&hl=en&gl=uk&pid=bl&srcid=ADGEESiEOlXYEEsUrnD9wZSNnDdD6QuOHhg4UnSJ-jD5J1T1oYQqz8VZ402ncofnDjezprcLxvMlZmSv1uXVfqnk6eLVnaDudiLy0SWuz2nyWMmj-a0X0-NSMh84Cv0mfsc7Zb6PcF_Y&sig=AHIEtbQhIQolCrcDCdRUGtZ3hrGHcm_tNA
Bosnian War;mar.75;110;mar.35;0.1;3;80;564;2,444;29,333;Separatist movements in multi-ethnic Yugoslavia triggered a war of independence between various factions.;The war came about as a result of the breakup of Yugoslavia. Bosnian Serbs, following their declaration of independence, mobilized their forces inside the Republic of Bosnia and Herzegovina in order to secure Serbian territory, then war soon broke out across the country, accompanied by the ethnic cleansing of the Muslim Bosniak and Croat population, especially in eastern Bosnia and throughout the Republika Srpska.;2;civil war;civil war;1992;1995;mar.75;45.00;1992-1995;4,301,200;2.56%;Population of Bosnia & Herzegovnia 1992.;;ethnoreligious;;;http://news.bbc.co.uk/2/hi/europe/6228152.stm
Burundian Genocide;0.25;150;68.49;01.jan;68;1,644;11,538;50;600;The systematic slaughter of Hutu peoples by a Tutsi-controlled government.;In 1972, Hutu refugees from surrounding nations organized an uprising of Hutus in Burundi. This was repulsed and followed by organized ethnic violence that killed some 150,000 Hutus.;2;small country;genocide;1972;1972;0.25;3;May-July 1972;830;18.07%;Estimated Hutu population in Burundi 1972.;;ethnoreligious coup;;Piero Scaruffi;http://www.scaruffi.com/politics/dictat.html
Charles Taylor (Liberia);7.00;220;mar.59;0.1;4;86;604;2,619;31,429;Battle between US-backed Doe regime and Charles Taylor-led rebel forces in Liberia plunged the nation into bloody disorder.;Charles Taylor assembled a group of rebels in Côte d'Ivoire who later became known as the National Patriotic Front of Liberia (NPFL). They invaded Nimba County on 24 December 1989 and The Liberian Army retaliated against the whole population of the region.;2;small country;genocide;1989;1996;7.00;84;1989-1996;2,137,000;10.29%;Population of Liberia 1989.;;;Only 'several hundred deaths' by 1990 (http://www.un.org/en/peacekeeping/missions/unmil/background.shtml);Piero Scaruffi;http://www.scaruffi.com/politics/dictat.html
Chinese Civil War;9.00;5,000,000;63.42;01.jan;63;1,522;10,684;46,296;555,556;Battle between Communist Party & Chinese government forces. In 1945 the two sides formed a united army against a Japanese invasio. The recommenced fighting a year after WWII.;China fought between forces loyal to the government of the Republic of China led by the Kuomintang (KMT) and forces of the Communist Party of China (CPC). The war represented an ideological split (Left vs. Right) between the Communist CPC, and the KMT's brand of Nationalism.;4;large country;civil war;1928;1937;9.00;108;1928-1937;485,508,838;1.03%;Population of China 1928.;;;;necrometrics.com;http://necrometrics.com/20c1m.htm
