Mission_Acronym,Mission_Name,Mission_isActive,Mission_Location,Mission_location_type,Mission_longitude,Mission_latitude,Mission_WebSite,WorldBank_Country_ISO3_Code,WorldBank_Country_Name,UNHCR_Country_ISO3_Code,UNHCR_Country,ACLED_Country_ISO3_Code,ACLED_Country
MINURSO,United Nations Mission for the Referendum in Western Sahara,Yes,Laayoune,HQ,-13.2033,27.153600000000001,https://minurso.unmissions.org/,,,ESH,Western Sahara,,
MINUSCA,United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic,Yes,Bangui,HQ,18.583300000000001,4.3666999999999998,https://minusca.unmissions.org/,CAF,Central African Republic,CAF,Central African Rep.,CAF,Central African Republic
MINUSMA,United Nations Multidimensional Integrated Stabilization Mission in Mali,Yes,Bamako,HQ,12.65,-8,https://minusma.unmissions.org,MLI,Mali,MLI,Mali,MLI,Mali
"MONUSCO,United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,Yes,Kinshasa,HQ,15.3222,-4.3250000000000002,https://monusco.unmissions.org/en,COD,""Congo, Dem. Rep."",COD,Dem. Rep. of the Congo,COD,Democratic Republic of Congo"
UNAMID,African Union-United Nations Hybrid Operation in Darfur,Yes,Al Fashir,HQ,25.350000000000001,13.630599999999999,https://unamid.unmissions.org/,,,,,SDN,Sudan
UNDOF,United Nations Disengagement Observer Force,Yes,Camp Faouar,HQ,35.921100000000003,33.236699999999999,https://undof.unmissions.org/,,,SYR,Syrian Arab Rep.,SYR,Syria
UNFICYP,United Nations Peacekeeping Force in Cyprus,Yes,Nicosia,HQ,33.366700000000002,35.166699999999999,https://unficyp.unmissions.org/,CYP,Cyprus,CYP,Cyprus,CYP,Cyprus
UNIFIL,United Nations Interim Force in Lebanon,Yes,An Naqurah,HQ,35.1342,33.119999999999997,https://unifil.unmissions.org/,LBN,Lebanon,LBN,Lebanon,LBN,Lebanon
UNISFA,United Nations Organization Interim Security Force for Abyei,Yes,Abyei,HQ,28.433299999999999,9.5999999999999996,https://unisfa.unmissions.org/,,,,,,
UNMIK,United Nations Interim Administration Mission in Kosovo,Yes,Pristina,HQ,21.166699999999999,42.666699999999999,https://unmik.unmissions.org/,,,SRB,Serbia and Kosovo,SRB,Serbia and Kosovo
UNMISS,United Nations Mission in the Republic of South Sudan,Yes,Juba,HQ,31.600000000000001,4.8499999999999996,https://unmiss.unmissions.org/,SSD,South Sudan,SSD,South Sudan,SSD,South Sudan
UNMOGIP,United Nations Military Observer Group in India and Pakistan,Yes,Islamabad (Nov-Apr) and Srinagar (May-Oct) ,HQ,76.323804,33.459326,https://unmogip.unmissions.org/,,,,,,
UNTSO,United Nations Truce Supervision Organization,Yes,Jerusalem,HQ,35.216700000000003,31.783300000000001,https://untso.unmissions.org/,,,,,,
